title,price,rating,Date
"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey","399
                               
                                .",4.3 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Laptop, 8GB DDR4+256GB SSD Laptop Computer, Intel Celeron,Up to 2.7GHz,Windows 11 Laptop, Intel UHD Graphics, 14.1 Inch IPS, Webcam, 2.4G/5GHz WiFi, Mini HDMI, 180 Angle Opening, Bluetooth 5.0","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Laptop, 8GB DDR4+256GB SSD Laptop Computer, Intel Celeron,Up to 2.7GHz,Windows 11 Laptop, Intel UHD Graphics, 14.1 Inch IPS, Webcam, 2.4G/5GHz WiFi, Mini HDMI, 180 Angle Opening, Bluetooth 5.0","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Laptop, 8GB DDR4+256GB SSD Laptop Computer, Intel Celeron,Up to 2.7GHz,Windows 11 Laptop, Intel UHD Graphics, 14.1 Inch IPS, Webcam, 2.4G/5GHz WiFi, Mini HDMI, 180 Angle Opening, Bluetooth 5.0","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Laptop, 8GB DDR4+256GB SSD Laptop Computer, Intel Celeron,Up to 2.7GHz,Windows 11 Laptop, Intel UHD Graphics, 14.1 Inch IPS, Webcam, 2.4G/5GHz WiFi, Mini HDMI, 180 Angle Opening, Bluetooth 5.0","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
"Acer Chromebook Spin 513 Convertible Laptop | Qualcomm Snapdragon 7c | 13.3"" FHD IPS Touch Corning Gorilla Glass Display | 4GB LPDDR4X | 64GB eMMC | WiFi 5 | Backlit KB | Chrome OS | R841T-S4ZG, Gray","199
                               
                                .",4.1 out of 5 stars,2024-03-21
